,RefSeq mRNA ID,Transcript stable ID
746,,ENST00000832249
747,,ENST00000806307
748,,ENST00000832250
749,,ENST00000832251
750,,ENST00000806429
751,,ENST00000832252
752,,ENST00000806430
753,,ENST00000832253
754,,ENST00000806431
755,,ENST00000832254
756,,ENST00000832255
757,,ENST00000806432
758,,ENST00000832256
759,,ENST00000806433
760,,ENST00000832257
761,,ENST00000806434
762,,ENST00000832258
763,,ENST00000806435
764,,ENST00000844178
765,,ENST00000832259
766,,ENST00000844179
767,,ENST00000806436
768,,ENST00000832260
769,,ENST00000806437
770,,ENST00000844180
771,,ENST00000832261
772,,ENST00000806438
773,,ENST00000839853
774,,ENST00000844181
775,,ENST00000832262
776,,ENST00000844182
777,,ENST00000832263
778,,ENST00000806598
779,,ENST00000844183
780,,ENST00000832264
781,,ENST00000806599
782,,ENST00000832265
783,,ENST00000832266
784,,ENST00000618083
785,,ENST00000832267
786,,ENST00000601199
787,,ENST00000832268
788,,ENST00000832269
789,,ENST00000612315
790,,ENST00000832270
791,,ENST00000832271
792,,ENST00000619109
793,,ENST00000832272
794,,ENST00000753228
795,,ENST00000779919
796,,ENST00000753229
797,,ENST00000832273
798,,ENST00000779920
799,,ENST00000832274
800,,ENST00000753230
801,,ENST00000779921
802,,ENST00000753231
803,,ENST00000832275
804,,ENST00000779922
805,,ENST00000753232
806,,ENST00000832276
807,,ENST00000779923
808,,ENST00000753233
809,,ENST00000832277
810,,ENST00000779924
811,,ENST00000832278
812,,ENST00000753234
813,,ENST00000779925
814,,ENST00000832279
815,,ENST00000753235
816,,ENST00000832280
817,,ENST00000780022
818,,ENST00000753236
819,,ENST00000753237
820,,ENST00000832281
821,,ENST00000753238
822,,ENST00000832282
823,,ENST00000753239
824,,ENST00000832283
825,,ENST00000753240
826,,ENST00000832284
827,,ENST00000753241
828,,ENST00000832285
829,,ENST00000832286
830,,ENST00000753394
831,,ENST00000832287
832,,ENST00000753395
833,,ENST00000832288
834,,ENST00000753396
835,,ENST00000832289
836,,ENST00000753397
837,,ENST00000832290
838,,ENST00000753398
839,,ENST00000832291
840,,ENST00000753399
841,,ENST00000832292
842,,ENST00000753400
843,,ENST00000832293
844,,ENST00000753504
845,,ENST00000832294
846,,ENST00000832295
847,,ENST00000753505
848,,ENST00000832296
849,,ENST00000753708
850,,ENST00000832297
851,,ENST00000832298
852,,ENST00000832299
853,,ENST00000832300
854,,ENST00000832301
855,,ENST00000832302
856,,ENST00000832303
857,,ENST00000832304
858,,ENST00000832305
859,,ENST00000832306
860,,ENST00000612919
861,,ENST00000832307
862,,ENST00000832308
863,,ENST00000740567
864,,ENST00000752237
865,,ENST00000832309
866,,ENST00000740568
867,,ENST00000752238
868,,ENST00000740569
869,,ENST00000832310
870,,ENST00000752239
871,,ENST00000740570
872,,ENST00000832311
873,,ENST00000752240
874,,ENST00000740571
875,,ENST00000832312
876,,ENST00000752241
877,,ENST00000832313
878,,ENST00000752242
879,,ENST00000740700
880,,ENST00000832314
881,,ENST00000719889
882,,ENST00000752243
883,,ENST00000740701
884,,ENST00000832315
885,,ENST00000719890
886,,ENST00000740702
887,,ENST00000772555
888,,ENST00000832316
889,,ENST00000719891
890,,ENST00000619792
891,,ENST00000772556
892,,ENST00000832317
893,,ENST00000719892
894,,ENST00000772557
895,,ENST00000740805
896,,ENST00000832318
897,,ENST00000719893
898,,ENST00000620795
899,,ENST00000621409
900,,ENST00000772558
901,,ENST00000832319
902,,ENST00000740806
903,,ENST00000719894
904,,ENST00000790730
905,,ENST00000729673
906,,ENST00000832320
907,,ENST00000803246
908,,ENST00000740807
909,,ENST00000719895
910,,ENST00000803247
911,,ENST00000832321
912,,ENST00000614351
913,,ENST00000719896
914,,ENST00000729674
915,,ENST00000740808
916,,ENST00000617089
917,,ENST00000832322
918,,ENST00000719897
919,,ENST00000740809
920,,ENST00000729675
921,,ENST00000832323
922,,ENST00000719898
923,,ENST00000740810
924,,ENST00000832324
925,,ENST00000729676
926,,ENST00000719899
927,,ENST00000740811
928,,ENST00000832325
929,,ENST00000790731
930,,ENST00000719900
931,,ENST00000612848
932,,ENST00000729677
933,,ENST00000740812
934,,ENST00000832326
935,,ENST00000719901
936,,ENST00000729678
937,,ENST00000612801
938,,ENST00000740813
939,,ENST00000832327
940,,ENST00000719902
941,,ENST00000729679
942,,ENST00000740814
943,,ENST00000719903
944,,ENST00000832328
945,,ENST00000721626
946,,ENST00000729680
947,,ENST00000740815
948,,ENST00000719904
949,,ENST00000832329
950,,ENST00000729681
951,,ENST00000721627
952,,ENST00000719905
953,,ENST00000740816
954,,ENST00000832330
955,,ENST00000729682
956,,ENST00000719906
957,,ENST00000721628
958,,ENST00000740817
959,,ENST00000729683
960,,ENST00000719907
961,,ENST00000740818
962,,ENST00000729684
963,,ENST00000719908
964,,ENST00000721629
965,,ENST00000740819
966,,ENST00000729685
967,,ENST00000719909
968,,ENST00000721630
969,,ENST00000740820
970,,ENST00000729686
971,,ENST00000719910
972,,ENST00000721631
973,,ENST00000740821
974,,ENST00000729687
975,,ENST00000719911
976,,ENST00000721632
977,,ENST00000740822
978,,ENST00000729688
979,,ENST00000719912
980,,ENST00000721633
981,,ENST00000740823
982,,ENST00000729689
983,,ENST00000719913
984,,ENST00000721634
985,,ENST00000740824
986,,ENST00000729690
987,,ENST00000719914
988,,ENST00000740825
989,,ENST00000721635
990,,ENST00000719915
991,,ENST00000740826
992,,ENST00000748908
993,,ENST00000721636
994,,ENST00000719916
995,,ENST00000740827
996,,ENST00000721637
997,,ENST00000719917
998,,ENST00000740828
999,,ENST00000752906
1000,,ENST00000721638
1001,,ENST00000752907
1002,,ENST00000721639
1003,,ENST00000740829
1004,,ENST00000719918
1005,,ENST00000752908
1006,,ENST00000721640
1007,,ENST00000719919
1008,,ENST00000752909
1009,,ENST00000740923
1010,,ENST00000721641
1011,,ENST00000719920
1012,,ENST00000752910
1013,,ENST00000719921
1014,,ENST00000721642
1015,,ENST00000752911
1016,,ENST00000719922
1017,,ENST00000721643
1018,,ENST00000752912
1019,,ENST00000719923
1020,,ENST00000721644
1021,,ENST00000752913
1022,,ENST00000719924
1023,,ENST00000752914
1024,,ENST00000721645
1025,,ENST00000719925
1026,,ENST00000752915
1027,,ENST00000721646
1028,,ENST00000719926
1029,,ENST00000752916
1030,,ENST00000721647
1031,,ENST00000719927
1032,,ENST00000752917
1033,,ENST00000719928
1034,,ENST00000752918
1035,,ENST00000721648
1036,,ENST00000719929
1037,,ENST00000721649
1038,,ENST00000795909
1039,,ENST00000721650
1040,,ENST00000795910
1041,,ENST00000720038
1042,,ENST00000721651
1043,,ENST00000795911
1044,,ENST00000720039
1045,,ENST00000721652
1046,,ENST00000795912
1047,,ENST00000720040
1048,,ENST00000721803
1049,,ENST00000837539
1050,,ENST00000721804
1051,,ENST00000837540
1052,,ENST00000721805
